title,description
Java Full Stack Developer,"The ideal candidate will have hands-on experience across Java,Microservices Architecture,Node.js,Vue.js,Handlebars,AWS,and GitHub,and will play a key role in designing,developing,and deploying end-to- end solutions. . Key responsibilities : . Design,develop,and maintain full stack applications using Java and Node.js Preferred candidate profile . Experience : 5+ years."
Data Analyst,"Willingness to work flexible shifts,including UK and US time zones Recommend process enhancements to support more effective data-driven decision-making. Qualification : Graduate / post-graduate in related field such as commerce or accounting. Experience or working knowledge of the Order to Cash (O2C) process Hands-on experience with Salesforce Sales Cloud"
Software Developer,The ideal candidate should have a strong foundation in .NET Core Web API and C# We are looking for a Junior Software Developers with up to 2-3 years of experience
Dot Net Full Stack Developer,"KNOWLEDGE & SKILLS . Educational Qualifications: . Bachelors degree in computer science,Software Engineering,or a related field Demonstrated experience with version control using Git Experience with at least one major cloud platform (Azure,AWS,or Google Cloud)"
Java Full Stack Developer,"Web API experience and architectural styles (e.g.,REST) Bachelor level degree or equivalent in Computer Science,or related field of study Technical or Professional Certification in Domain iCertis certification (Administrator,Professional) Proven experience in Software design skills Object-oriented programming experience (e.g.,Java,C#,Python,Php,Perl,etc.)"
Hiring For JAVA Full Stack Developer with Angular/React,*All the interviews are only in Walkin Mode in respective cities . *Need minimum 2 year full time experience after Graduation . *Trainee and internship / Trainee experience not considered
Devops Engineer,"Java Engineer - DevOps + Python + AWS + Packaging | Java + NPM + Python / Bash / Go / Ruby + CI/CD / Jenkins / Circle CI + AWS + Docker + Automation + SW Package management (esp Java packages) with hands-on with tools like RPM, DEB, or NuGet + storage J frog artifactory + GitHub + Security domain (IAM) + Supply chain management experience + Kubernetes + Cloud - GCP / Azure (Good to have) + DevOps ."
Java Developer,"Must have exposure in developing web applications using at least one popular web frameworks like JSF,Spring,Hibernate and JSF Must have excellent knowledge of Relational Databases,Oracle,SQL and ORM technologies (JPA2,Hibernate) Must have hands on experience in designing and developing applications using Java EE platforms Must have exposure to front end technologies"
Python JavaScript Developer,"Role & responsibilities Python, Javascript, HTML5, CSS, PostgreSQL, Docker, GitHub, Django"
Java Full Stack Developer,"Required Skills: . Strong proficiency in Java,with hands-on experience in Spring Boot,JPA / Hibernate,and REST APIs Solid experience with React.js,JavaScript (ES6+),HTML5,and CSSExperience in building scalable microservices-based applications Good understanding of version control tools (e.g.,Git ) Experience with Maven / Gradle,Jenkins,or other CI / CD tools"
"Frontend Web Developer - ReactJs, NextJS & SEO_Hybrid Immediate Joiner","Bachelors degree 8+ years of experience Experience with implementation of enterprise grade web and mobile applications using ReactJS,NextJS,SEO You should be familiar with React and its ecosystem Strong experience in JavaScript,HTML,and CSS Proficient with mobile application lifecycles Some AI knowledge is required Experience with a React codebase is a plus"
Software Engineer,"Experience with Databases (SQL / NoSQL) and data pipelines Familiarity with Big Data tools : Spark,Hadoop (good to have) Experience with Cloud platforms : AWS / GCP / Azure (AI & ML services)"
Staff Machine Learning Engineer,"We are seeking a highly skilled Staff Machine Learning Engineer with a strong background in Machine Learning and Software Engineering to join our team. In this role, you will collaborate closely with product managers, applied scientists, and engineers to design, implement, and scale ML-powered systems that extract and reason over information from complex, unstructured data sourcessuch as documents, web screens, and automation workflows. Your work will play a key role in enabling intelligent, context-aware assistants and task automation agents that understand user intent and deliver meaningful outcomes. Key Responsibilities Build intelligent agentic systems that combine document understanding, retrieval, and LLM-based reasoning to support context-aware conversational workflows. Design and implement scalable Agentic RAG pipelines that orchestrate unstructured data preprocessing, vector store integration, and LLM prompting for accurate, grounded responses. Develop modular ML components for layout analysis, information extraction, dialogue management, and tool invocation within multi-turn, goal-driven conversations. Integrate conversational agents with enterprise data sources, APIs, and downstream automation workflows to enable end-to-end task execution. Craft dynamic prompting and memory strategies to maintain context, reduce hallucination, and improve relevance in long-form or multi-turn queries. Collaborate cross-functionally with product managers, UX designers, and platform engineers to define agent behavior and ensure seamless user experiences. Monitor and continuously improve system performance, including response quality, retrieval precision, latency, and task success rate using real-world feedback. Drive data curation efforts including synthetic generation, annotation workflows, and hard example mining to improve agent robustness and generalization. Establish best practices for evaluating agent behavior, including human-in-the-loop review processes, regression testing, and safety guardrails. Contribute to infrastructure and MLOps pipelines that support model experimentation, deployment, and monitoring in production environments. Qualifications / Expectations: Bachelors or Masters Degree in Computer Science, Data Science, or a related technical field. Advanced degrees are a plus. 5–7+ years of hands-on experience in building and deploying machine learning models, with a strong focus on document intelligence, NLP, or Generative AI. Proven experience developing and productionizing ML systems for unstructured data processing, including document parsing, table extraction, and layout analysis. Proficiency with modern ML frameworks such as PyTorch or TensorFlow, and experience with OCR and document processing tools (e.g., Tesseract, AWS Textract, PDFMiner, LayoutParser). Strong experience with LLMs and Retrieval-Augmented Generation (RAG) architectures, including practical knowledge of LangChain, LlamaIndex, Haystack, or similar frameworks. Understanding on knowledge graphs and graph based information retrieval Experience designing and integrating conversational agents with context memory, function/tool calling, and dynamic prompting strategies. Familiarity with vector stores (e.g., FAISS, Pinecone, Weaviate) and search/retrieval mechanisms for grounding LLM outputs. Experience building ML pipelines and implementing MLOps best practices to support training, validation, deployment, and monitoring of models at scale. Hands-on experience with cloud ML services (e.g., AWS SageMaker, Azure ML, Google Vertex AI) for training and inference. Solid programming skills in Python, with working knowledge of SQL Experience with containerization (Docker), orchestration (Kubernetes), and model serving technologies (e.g., Triton Inference Server, ONNX Runtime, TorchServe) in production environments. Knowledge of model optimization techniques (e.g., quantization, pruning, distillation) to improve inference efficiency on cloud or edge devices. Strong problem-solving abilities, with a track record of delivering scalable, high-impact ML solutions for complex, real-world problems. Excellent communication skills and ability to work autonomously in a fast-paced, collaborative environment. Nice to Have: Experience in fine-tuning large language models (LLMs) and applying GenAI techniques in parsing unstructured data. Experience with dialogue management systems or conversational frameworks (e.g., Rasa, Dialogflow, or custom pipelines) for building intelligent agents. Experience with distributed training techniques to optimize large-scale model training across multiple GPUs or cloud environments. Understanding of prompt engineering best practices and few-shot or chain-of-thought prompting for improving agent behavior in GenAI systems. Background in open-source contributions or research related to document AI, LLM applications, or multi-modal learning. Familiarity with CI/CD pipelines for ML, automated model versioning, and monitoring tools for performance and drift in production models."
CMS Full Stack Developer,"Bachelor s degree in Computer Science,Software Engineering,or a related field,or equivalent practical experience. 3+ years of experience in full-stack web development,with significant experience working with Content Management Systems."
Java Developer,"java developer core java, oops, spring boot, spring mvc, AWS, MICROSERVICES, RESTFULAPI."
React Developer,"Address critical production issues and meet deadlines as required. Required Skills and Experience: . 8+ years of hands-on UI engineering experience Minimum 4+ years of recent experience with ReactJs frameworks Extensive experience with common front-end development tools Experience in Agile methodologies and DevOps tools (GIT,Jenkins)"
Senior Software Engineer - Full stack (Node & React JS),"Degree, Post graduate in Computer Science or related field (or equivalent industry experience) Experience Minimum 8 years of coding experience in ReactJS (TypeScript), HTML, CSS-Pre-processors, or CSS-in-JS in creating Enterprise Applications with high performance for Responsive Web Applications. Minimum 8 years of coding experience in NodeJS, JavaScript & TypeScript and NoSQL Databases. Developing and implementing highly responsive user interface components using React concepts. (self-contained, reusable, and testable modules and components) Architecting and automating the build process for production, using task runners or scripts Knowledge of Data Structures for TypeScript. Monitoring and improving front-end performance. Banking or Retail domains knowledge is good to have. Hands on experience in performance tuning, debugging, monitoring. Technical Skills Excellent knowledge developing scalable and highly available Restful APIs using NodeJS technologies Well versed with CI/CD principles, and actively involved in solving, troubleshooting issues in distributed services ecosystem Understanding of containerization, experienced in Dockers, Kubernetes. Exposed to API gateway integrations like 3Scale. Understanding of Single-Sign-on or token-based authentication (Rest, JWT, OAuth) Possess expert knowledge of task/message queues include but not limited to: AWS, Microsoft Azure, Pushpin and Kafka. Practical experience with GraphQL is good to have. Writing tested, idiomatic, and documented JavaScript, HTML and CSS Experiencing in Developing responsive web-based UI Have experience on Styled Components, Tailwind CSS, Material UI and other CSS-in-JS techniques Thorough understanding of the responsibilities of the platform, database, API, caching layer, proxies, and other web services used in the system Writing non-blocking code, and resorting to advanced techniques such as multi-threading, when needed Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model Documenting the code inline using JSDoc or other conventions Thorough understanding of React.js and its core principles Familiarity with modern front-end build pipelines and tools Experience with popular React.js workflows (such as Flux or Redux or ContextAPI or Data Structures) A knack for benchmarking and optimization Proficient with the latest versions of ECMAScript (JavaScript or TypeScript) Knowledge of React and common tools used in the wider React ecosystem, such as npm, yarn etc Familiarity with common programming tools such as RESTful APIs, TypeScript, version control software, and remote deployment tools, CI/CD tools An understanding of common programming paradigms and fundamental React principles, such as React components, hooks, and the React lifecycle Unit testing using Jest, Enzyme, Jasmine or equivalent framework Understanding of linter libraries (TSLINT, Prettier etc) Functional Skills Experience in following best Coding, Security, Unit testing and Documentation standards and practices Experience in Agile methodology. Ensure quality of technical and application architecture and design of systems across the organization. Effectively research and benchmark technology against other best in class technologies. Soft Skills Able to influence multiple teams on technical considerations, increasing their productivity and effectiveness, by sharing deep knowledge and experience. Self-motivator and self-starter, Ability to own and drive things without supervision and works collaboratively with the teams across the organization. If You are interested, please share your resume to priyanka.s@valuelabs.com"
Data Scientist (Gen AI),"What youd have: . AI-ML Engineer or Data Scientist with 3 - 11 years of relevant experience Vector databases (Pinecone,Weaviate,ChromaDB) Good To Have Hands-on experience with: . Generative AI and foundation models Proven experience in data preparation,including: Advanced data preprocessing techniques Experience with: ."
Senior Software Engineer- Python,"Bachelors or Masters degree in Computer Science,IT,or a related field Experience with backend web frameworks,preferably FastAPI 5+ years of hands-on experience in software development,with a focus on Python Practical experience with CI / CD,containerization (Docker),and version control systems (Git)."
Java Full Stack Developer,"Location: Hyderabad . Notice Period: Immediate to 15 days Joiners are only preferred. Mandatory Experience in React/ Angular,Java Script,Typescript,HTML,CSS,Java,Spring Boot,Microservices,Rest APIs is required Candidates who have all the mentioned skills and fulfills the criteria ONLY apply. ."
Dot Net Full Stack Developer,"Interested Candidates Share CVs to VAIJAYANTHI.M@PARAMINFO.COM Exp: 7+ Years Notice: Max 10 Days Only Location: Hyderabad Candidates who is ready to move Hyderabad or who is in Hyderabad already and who can join in 10 days are eligible to apply Must Required Skills: Front-End : Angular, TypeScript, HTML, CSS, JavaScript Back-End : .NET Framework / .NET Core (C#, ASP.NET) Databases : SQL Server & MongoDB Version Control : Git (mandatory) Testing : Unit Testing & TDD Agile : Sprint planning, daily stand-ups, retrospectives Containerization : Docker (deployment & scaling) Cloud : Azure / AWS / GCP Preferred Skills : Strong problem-solving and analytical mindset Exposure to cloud integration & performance optimization Knowledge of security best practices & compliance Job Description: Job Role: As a specialized Full Stack Developer with expertise in Angular, .NET, SQL Server, and MongoDB at your core responsibility is to design, develop, and optimize web applications. These applications are integral to our mission, and you'll play a pivotal role in every stage of their development. You will create user-friendly, high-performance applications using Angular and .NET, manage data effectively with SQL Server and MongoDB, and collaborate with cross-functional teams. Your work includes maintaining code repositories with Git, embracing Agile methodologies, containerizing applications with Docker, and integrating them into cloud platforms (Azure, AWS, or Google Cloud). By fulfilling this role, you'll contribute to innovative projects, ensuring they meet high standards and address real-world challenges. Your expertise and adaptability are key to our success, and your contributions will help maintain its leading position in the industry. KEY RESPONSIBILITIES Core Responsibilities: Design, develop, and optimize web applications using Angular and .NET technologies. Store and query data efficiently, utilizing SQL Server and MongoDB. Collaborate closely with cross-functional teams to understand and meet project requirements. Maintain code repositories and ensure version control using Git. Write effective unit tests to ensure a high level of code quality and reduce the number of bugs in the application. Work within an Agile environment, participating in sprint planning, stand-up meetings, and retrospectives. Deploy applications using containerization tools like Docker for efficient deployment and scaling. Integrate and optimize applications on cloud platforms, including Azure, AWS, or Google Cloud. Contribute to the development of cutting-edge solutions that align with mission and objectives. Core Responsibilities: Design, develop, and optimize web applications using Angular and .NET technologies. Store and query data efficiently, utilizing SQL Server and MongoDB. Collaborate closely with cross-functional teams to understand and meet project requirements. Maintain code repositories and ensure version control using Git. Write effective unit tests to ensure a high level of code quality and reduce the number of bugs in the application. Work within an Agile environment, participating in sprint planning, stand-up meetings, and retrospectives. Deploy applications using containerization tools like Docker for efficient deployment and scaling. Integrate and optimize applications on cloud platforms, including Azure, AWS, or Google Cloud. Contribute to the development of cutting-edge solutions that align with mission and objectives. People Management Responsibilities: Collaboration: Work closely with team members, designers, and business analysts to ensure effective communication and teamwork. Knowledge Sharing: Share your technical knowledge and expertise with colleagues, assisting them in solving challenges and promoting skill development. Code Reviews: Participate in code reviews to maintain code quality and adherence to coding standards. Problem Solving: Collaborate with team members to identify and address technical issues and challenges, fostering a culture of problem-solving and innovation. Feedback: Offer constructive feedback to colleagues when reviewing their work and be open to receiving feedback from others to facilitate continuous improvement. Strategic Responsibilities: Technology Roadmap: Contribute to the development and implementation of the technology roadmap, helping to identify and adopt new technologies and best practices. Architecture Planning: Participate in architectural discussions and decisions, ensuring that the technical solutions align with long-term business goals. Scalability: Design applications and systems with scalability in mind, accommodating future growth and increased user demand. Security: Implement security best practices to protect the integrity and confidentiality of data and systems, staying updated on emerging threats and solutions. Performance Optimization: Continuously monitor and optimize application performance to enhance user experience and reduce load times. Compliance: Ensure that the developed applications and systems comply with relevant regulations and industry standards. Innovation: Stay informed about emerging technologies and trends in the software development industry and propose innovative solutions to improve products and processes. Documentation: Maintain comprehensive technical documentation for code, architectures, and processes to facilitate knowledge transfer and onboarding of new team members. KNOWLEDGE & SKILLS Educational Qualifications: Bachelors degree in computer science, Software Engineering, or a related field. Relevant certifications or additional coursework related to web development and software engineering (optional). Technical Qualifications: Proficiency in front-end development using Angular and back-end development using .NET technologies. Strong expertise in database development, including SQL Server and MongoDB. Skilled in writing automated unit tests and TDD. Demonstrated experience with version control using Git. Familiarity with Agile methodologies and participation in Agile development processes. Basic knowledge of containerization using Docker. Experience with at least one major cloud platform (Azure, AWS, or Google Cloud). Strong problem-solving and analytical skills. Excellent communication and teamwork abilities. Language Skills: Proficiency in English Arabic is preferred (not mandatory) Years of Experience: 5 to 8 years of professional software development experience. Proven track record in working on and delivering web applications and software projects. Extensive experience with Angular, .NET, SQL Server, and MongoDB. Demonstrated expertise in Git version control and Agile methodologies. Prior involvement in deploying applications with Docker and working with cloud platforms (Azure, AWS, or Google Cloud). Experience working on a variety of software projects, demonstrating adaptability and problem-solving skills. Nature of Experience: Hands-on experience in designing, developing, and optimizing web applications using Angular, .NET, SQL Server, and MongoDB. Strong background in front-end and back-end development, encompassing both user interface design and database management. Experience in writing unit tests and TDD. Proficiency in maintaining code repositories, implementing version control using Git, and collaborating within an Agile environment. Prior work with containerization tools such as Docker for application deployment and scaling. Experience with cloud platforms (Azure, AWS, or Google Cloud), including integration and optimization of applications in a cloud environment. A track record of solving complex technical challenges and contributing to the success of software projects. A history of continuous learning and staying updated on industry best practices and emerging technologies. Key Internal Contacts: Software Development Team Product Managers Quality Assurance Team DevOps Team Data Analysts Purpose of Interaction: Software Development Team: Collaborate on coding, code reviews, and development tasks. Product Managers: Discuss project requirements, updates, and feature development. Quality Assurance Team: Coordinate testing, bug fixes, and quality assurance processes. DevOps Team: Work on deployment, containerization, and cloud integration. Data Analysts: Share data requirements and collaborate on database optimization. Key External Contacts: Clients or Customers Third-Party Vendors or Service Providers End Users or Customers Regulatory Authorities (if applicable) Purpose of Interaction: Clients or Customers: Communicate with clients to understand project requirements, provide updates, and gather feedback. Third-Party Vendors or Service Providers: Interact with external vendors for software integrations, APIs, or third-party tools. End Users or Customers: Gather user feedback, address support inquiries, and ensure a user-centric approach to development. Regulatory Authorities (if applicable): Engage with regulatory bodies to ensure compliance with industry or government standards. Technical Competencies required for the role Front-End Development:- Proficiency in HTML, CSS, JavaScript, Typescript and Angular for building user interfaces and interactive web applications. Back-End Development:- Strong expertise in .NET technologies for server-side development and business logic implementation. Database Development:- Extensive experience in working with SQL Server and MongoDB for efficient data storage and retrieval. Unit Testing:- Experienced in writing Unit Tests and doing TDD. Version Control:- Demonstrated ability to use Git for version control, ensuring code management and collaboration. Agile Methodologies:- Familiarity with Agile development methodologies, including participation in sprint planning, stand-up meetings, and retrospectives. Containerization:- Basic knowledge of containerization using Docker for efficient application deployment and scaling. Cloud Platforms :- Experience with at least one major cloud platform (Azure, AWS, or Google Cloud) for deploying and optimizing applications in a cloud environment. Interested Candidates Share CVs to VAIJAYANTHI.M@PARAMINFO.COM"
AI/ML Engineer,"Shift : 10:00AM to 7:00PM IST Experience a simpler,faster,and more reliable hiring process with Uplers today Preferred Notice Period : Within 30 Days Experience: 3 - 6 Years Exp, 4+ years of experience in AI / ML engineering with exposure to backend systems Strong Python skills,with experience in PyTorch,TensorFlow,Hugging Face,Diffusers"
Frontend Developer (ElectronJS),"Shift : 10:00AM to 7:00PM IST It serves top law firms in India - including S&R Associates,Cyril Amarchand Mangaldas,Luthra and Trilegal. . About the Role: We are hiring a Frontend Developer with hands-on Electron experience who can help us build an advanced desktop application designed for secure,intelligent,and autonomous workflows Preferred Notice Period : Within 30 Days"
Lead Software Engineer - Full Stack,"About ValGenesis ValGenesis is a leading digital validation platform provider for life sciences companies. ValGenesis suite of products are used by 30 of the top 50 global pharmaceutical and biotech companies to achieve digital transformation, total compliance and manufacturing excellence/intelligence across their product lifecycle. Learn more about working for ValGenesis, the de facto standard for paperless validation in Life Sciences: https://www.youtube.com/watch?v=tASq7Ld0JsQ About the Role: We are looking for experienced product development engineers/experts who could join our cloud product engineering team to build the next gen applications for our global customers. If you are a technology enthusiast and have passion to develop enterprise cloud products with quality, security, and performance, we are eager to discuss with you about the potential role. Responsibilities Understand the business requirements and technical constraints and architect/design/develop. Participate in the complete development life cycle. Lead and Review the architecture/design/code of self and others. Develop enterprise application features/services using Azure cloud services, C# .NET Core, ReactJS etc, implementing DevSecOps principles. Act as a hands-on technical leader of a scrum team. Own and be accountable for the Quality, Performance, Security and Sustenance of the respective product deliverables. Strive for self-excellence along with enabling success of the team/stakeholders. Appraise the performance of self, peers and team members. Requirements: 6 to 10 years of experience in developing enterprise software products Strong knowledge of C#, .NET Core, Azure DevOps Working knowledge of the JS frameworks – Preferably ReactJS Experience in container-based development, AKS, Service Fabric etc Experience in messaging queue like RabbitMQ, Kafka Experience in Azure Services like Azure Logic Apps, Azure Functions Experience in databases like SQL Server, PostgreSQL Knowledge of reporting solutions like PowerBI, Apache SuperSet etc Knowledge of Micro-Services and/or Micro-Frontend architecture Knowledge of Code Quality, Code Monitoring, Performance Engineering, Test Automation Tools"
"Software Engineer, PySpark, AVP","Youll be working within a feature team and using your extensive experience to engineer software,scripts and tools that are often complex,as well as liaising with other engineers,architects and business analysts across the platform. . Youll also be: . Youll also need experience with continuous integration,DevOps,Gitlab and Artifactory"
"Software Engineer, Unix and BPMN, AVP","Youll need at least ten years of experience working with Unix environments like RedHat 7 or Youll need experience in Java,Nodejs and Web services like SOAP or REST. . Youll also need experience in databases like Oracle,SQL and JDBC with strong experience in BPMN modelling. . Youll also need: . Experience of working with development and testing tools,bug tracking tools and wikis"
Full Stack Developer,"Qualifications : . Bachelors degree in Computer Science,Information Technology,or a related field Below are must tech skills . Nestjs Develop and deploy cloud functions,preferably in GCP Firebase,to support various application functionalities Strong knowledge of microservices development and cloud function development,preferably in GCP Firebase"
Senior Software Engineer,"QUALIFICATIONS AND EXPERIENCE REQUIRED: . Engineering Degree in Computer Science / MCA or any other Bachelors degree with the relevant experience. . Able to provide technical recommendations and solve technical problems. Must be a quick learner. Should be a self-motivated,independent,detail oriented,responsible team-player and exhibit exceptional relationship skills."
AI-ML Engineer,". Bachelors or masters degree in computer science,Machine Learning,Data Science or a related field At least 3 to 5 years of hands-on experience in designing and delivering AI / ML solutions Good understanding of concepts involving Probability,Statistics,Linear Algebra,Programming and basics of Machine Learning"
Software Developer - Linux/QNX (Automotive),"Should have fair exposure to analyzing and debugging existing software or designing and building new ones Qualifications: . B-Tech / BE,with 5+ years of experience in Linux / QNX based embedded software design and development Experience in Programming with C,C++ Good Knowledge of IPC and RPC mechanisms available in QNX & Linux"
Software Developer Android (Automotive),"Should have fair exposure to analyzing and debugging existing software or designing and building new ones B-Tech / BE,with 5+ years of experience in Android based embedded software design and development Experience in Programming with Java,C / C++ Good Knowledge of IPC and RPC mechanisms available in Android & Linux"
Java Software Engineer,"Should have experience working on Java vExperience working with Gitlab CI / CD,AWS and Docker will be preferred. Youll also need: . Youll need at least seven years of experience working with Java,Spring,SQL,Microservices Experience of working with development and testing tools,bug tracking tools and wikis Experience in multiple programming languages or low code toolsets"
DevOps Engineer,"Coach and mentor feature and platform teams to higher levels of DevOps capability,to drive continuous improvements and enhancing the end customer experience The skills youll need . Youll need knowledge of the core principles and benefits of DevOps,and knowledge and experience of software engineering and or IT Operations. . Youll also need: . Experience of scripting"
Senior Java Developer,"This role requires hands-on experience in building scalable applications,working with cloud environments,and implementing microservices-based architectures Strong coding experience in Java,JUnit,Mockito . Experience with cloud platforms (AWS,Azure,GCP) and containerization tools (Docker,Kubernetes). Experience in performance tuning and application optimization."
Java Developer with AWS,"Your future duties and responsibilities We are seeking a highly skilled and motivated application Java AWS with a strong passion for web application development. The ideal candidate will have extensive experience in managing applications on the Azure platform, along with a deep understanding of DevOps principles and practices. Work with a Solution Architects and/or users to understand requirements Work independently on the technical deliverables starting from analysis to release Installs, upgrades, and tests components in Java. Should be able to perform tasks like Designing, developing, deploying & testing. Experience working with Java and AWS Should have Devops experience Required qualifications to be successful in this role Experience with Java, AWS and devops-jenkins. Understanding of agile methodologies and experience working in agile teams. Familiar with handling high volume transactions testing and performance tuning based testing. Required Skills DevOps, devops jenkins, Java, Java AWS, AWS"
Staff Software Engineer,"R1 is the leading provider of technology-driven solutions that transform the patient experience and financial performance of hospitals,health systems,and medical groups Masters / Bachelors degree in computer science or a similar field 13+ years of experience in software / data engineering experience Extensive experience with cloud environments,including Azure,GCP or AWS"
Senior Full Stack Software Engineer,"We are seeking a highly skilled and motivated Senior Full Stack Software Engineer to support the development and customization of enterprise applications. This role focuses on improving developer experience, enhancing system integrations, and building tools across Web and Mobile platforms used by enterprise customers in industries such as telecommunications and utilities. You will collaborate with a high-performing engineering team to implement and maintain complex, geospatially-aware systems while streamlining workflow and network operations. Requirements Design, develop, and maintain tools, APIs, and frameworks to support Workflow Manager and Network Management applications. Customize and extend existing workflow automation solutions to meet client-specific operational needs. Integrate front-end and back-end systems, ensuring seamless data flow and user experience. Collaborate with engineering and implementation teams to identify and resolve workflow or system bottlenecks. Implement automated testing to ensure stability and reliability across workflows and network operations. Develop technical documentation for tools, workflows, APIs, and deployment practices. Mentor other developers and support knowledge sharing across the team. Participate in Agile/Scrum ceremonies, including sprint planning and retrospectives. Must Haves: Strong experience building server-side applications in Python. Strong experience building client-side applications in JavaScript. Proficiency in developing, integrating, or customising Workflow Manager and Network Manager systems. Experience working with Docker containers. Solid understanding of SQL and relational databases (PostgreSQL, Oracle, or SQLite). Hands-on experience with front-end/back-end integration. Familiarity with automated testing frameworks and test-driven development. Strong analytical and problem-solving skills. Excellent verbal and written communication skills. Experience using Git or other distributed version control systems. Experience mentoring or guiding software engineers on tools and development best practices. Preferred Skills: Experience working with workflow manager tools or network provisioning platforms. Experience with Node.js, React, or other JavaScript frameworks. Experience with Geospatial Information Systems (GIS) or mapping APIs. Familiarity with ETL processes, data transformation, and integration. Experience with Linux environments and web servers (eg, Apache). Exposure to mobile app development (ElectronJS). Knowledge of cloud platforms like AWS, GCP, or Azure. Understanding of tools such as PostGIS, OpenLayers, Pyramid, Shapely, Turf, SQLAlchemy. Industry knowledge in telecommunications or utilities, particularly around network modelling and operations. What Were Looking For: You should bring experience working on workflow-driven enterprise systems or network management platforms. Passionate about building developer tools and improving workflows for modern software teams. Take up challenges in solving infrastructure and automation challenges, working with geospatial data, and building developer-centric tools. Comfortable working independently, contributing to architecture decisions, and collaborating within distributed teams. A growth mindset, proactive attitude, solid engineering principles, strong accountability, and self-motivation are essential. Education: Bachelordegree in Computer Science, B.Tech, or an equivalent field of study. Benefits We believe that our people are our strength. Along with a competitive salary, we provide a range of benefits designed to support your we'll-being and growth. Health Insurance (you & family) Vacation & Sick Leaves we'llness Benefits Upskilling Suppor"
Software Engineer - Blockchain,". Desired Candidate Profile: . Education: . Bachelors or Masters degree in Computer Science,Information Technology,or a related field . Technical Skills: . Proficiency in one and more programming languages such as TypeScript,JavaScript,NodeJS Proven experience in designing,developing,and maintaining SDKs for blockchain wallet integration"
Software Engineer II - Data Engineer,"We are seeking a Data Engineer to help design, build, and optimize data pipelines and platforms that support our growing data needs. In this role, you will work closely with senior engineers and cross-functional teams to integrate diverse data sources, ensure data quality, and contribute to the development of scalable, secure, and reliable data infrastructure. Responsibilities Build and maintain reliable, high-performance data pipelines for batch and streaming use cases. Integrate data from multiple sources including enterprise systems, cloud-native services, APIs, and unstructured datasets. Collaborate with senior engineers to implement best practices in data modeling, pipeline design, and performance optimization. Contribute to building self-service data platforms for data discovery, access, and lifecycle management. Support implementation of governance, compliance, and security policies across data systems. Develop automation scripts for deployment and monitoring of data infrastructure. Work with team members to resolve issues, improve processes, and ensure data availability and accuracy. Core Qualifications bachelors degree in Computer Science, Engineering, or related field. 2 to 4 years of experience in data engineering or backend software development. Proficiency in Python and SQL for data processing and pipeline development. Experience with distributed computing frameworks like Spark, Kafka, or similar. Familiarity with AWS services and Infrastructure as Code (IaC) tools such as Terraform or AWS CDK. Knowledge of data storage systems (eg, S3, Redshift, Snowflake, or similar). Basic understanding of data governance and compliance requirements. Preferred Skills Exposure to data catalog/discovery tools such as DataHub or Collibra. Familiarity with containerized applications (Docker, Kubernetes). Understanding of real-time data pipelines and streaming technologies. Awareness of privacy and regulatory standards (eg, GDPR, CCPA). What Diligent Offers You Creativity is ingrained in our culture. We are innovative collaborators by nature. We thrive in exploring how things can be differently both in our internal processes and to help our clients We care about our people. Diligent offers a flexible work environment, global days of service, comprehensive health benefits, meeting free days, generous time off policy and we'llness programs to name a few We have teams all over the world . We may be headquartered in New York City, but we have office hubs in Washington D.C., Vancouver, London, Galway, Budapest, Munich, Bengaluru, Singapore, and Sydney. Diversity is important to us. Growing, maintaining and promoting a diverse team is a top priority for us. We foster and encourage diversity through our Employee Resource Groups and provide access to resources and education to support the education of our team, facilitate dialogue, and foster understanding"
Data Analyst,"Basic experience & understanding of customer success principles is a plus. Education: . bachelors degree is required Experience: . 5+ years of professional experience is required Very good skills in Microsoft Office suite is required,especially the following: . Excel . PowerPoint . Word . SharePoint . Experience with SalesForce & Certinia is required ."
Devops Engineer,"Design, build, and maintain CI/CD pipelines for automated builds, tests, and deployments. Automate infrastructure provisioning using Infrastructure as Code (Terraform, Ansible, CloudFormation, etc) . Manage and monitor cloud infrastructure ( AWS, Azure, GCP ). Implement containerization and orchestration with Docker and Kubernetes. Ensure system availability, scalability, and performance through proactive monitoring and alerting. Collaborate with development and QA teams to streamline software delivery. Implement and maintain security best practices for cloud and DevOps workflows. Troubleshoot production issues and perform root cause analysis. Maintain documentation and contribute to process improvements. Requirements: bachelors degree in Computer Science, Engineering, or related field. 3+ years of experience in DevOps, Site Reliability Engineering (SRE), or related roles. Strong expertise in cloud platforms (AWS, Azure, or GCP). Hands-on experience with CI/CD tools (Jenkins, GitHub Actions, GitLab CI, CircleCI). Proficiency in containerization (Docker) and orchestration (Kubernetes, OpenShift) . Strong scripting/programming skills ( Python, Bash, Go, or Groovy ). Experience with monitoring and logging tools (Prometheus, Grafana, ELK, Splunk, Datadog). Familiarity with version control systems (Git). Solid understanding of networking, security, and Linux administration . Preferred Skills (Nice to Have): Certifications: AWS Certified DevOps Engineer, Azure DevOps Engineer Expert, GCP Professional DevOps Engineer . Experience with service mesh (Istio, Linkerd) . Knowledge of serverless technologies (AWS Lambda, Azure Functions, GCP Cloud Functions) . Exposure to Agile/Scrum environments ."
